0.050000 ,0.075000, 0.076844, 0.076890, 0.078719, 0.576864
0.100000 ,0.078718, 0.080530, 0.080575, 0.082372, 0.657415
0.150000 ,0.082371, 0.084149, 0.084193, 0.085955, 0.741583
0.200000 ,0.085954, 0.087697, 0.087740, 0.089466, 0.829299
0.250000 ,0.089465, 0.091170, 0.091213, 0.092901, 0.920487
0.300000 ,0.092899, 0.094566, 0.094607, 0.096255, 1.015071
0.350000 ,0.096254, 0.097879, 0.097919, 0.099524, 1.112966
0.400000 ,0.099523, 0.101105, 0.101145, 0.102706, 1.214088
0.450000 ,0.102704, 0.104241, 0.104279, 0.105793, 1.318344
0.500000 ,0.105792, 0.107281, 0.107318, 0.108783, 1.425639
0.550000 ,0.108782, 0.110220, 0.110256, 0.111670, 1.535873
0.600000 ,0.111669, 0.113054, 0.113089, 0.114448, 1.648941
0.650000 ,0.114447, 0.115777, 0.115810, 0.117113, 1.764730
0.700000 ,0.117111, 0.118383, 0.118415, 0.119657, 1.883124
0.750000 ,0.119656, 0.120866, 0.120897, 0.122076, 2.004000
0.800000 ,0.122075, 0.123221, 0.123249, 0.124362, 2.127229
0.850000 ,0.124361, 0.125439, 0.125466, 0.126510, 2.252676
0.900000 ,0.126509, 0.127515, 0.127540, 0.128511, 2.380198
0.950000 ,0.128510, 0.129441, 0.129465, 0.130358, 2.509645
1.000000 ,0.130357, 0.131210, 0.131231, 0.132044, 2.640859
1.050000 ,0.132043, 0.132813, 0.132832, 0.133560, 2.773674
1.100000 ,0.133559, 0.134241, 0.134258, 0.134897, 2.907917
1.150000 ,0.134896, 0.135487, 0.135502, 0.136046, 3.043403
1.200000 ,0.136045, 0.136540, 0.136552, 0.136998, 3.179941
1.250000 ,0.136997, 0.137391, 0.137401, 0.137742, 3.317328
1.300000 ,0.137741, 0.138029, 0.138036, 0.138268, 3.455351
1.350000 ,0.138268, 0.138443, 0.138447, 0.138565, 3.593787
1.400000 ,0.138564, 0.138622, 0.138624, 0.138621, 3.732400
1.450000 ,0.138620, 0.138554, 0.138553, 0.138423, 3.870942
1.500000 ,0.138422, 0.138226, 0.138222, 0.137958, 4.009155
1.550000 ,0.137958, 0.137625, 0.137617, 0.137214, 4.146765
1.600000 ,0.137213, 0.136737, 0.136725, 0.136175, 4.283483
1.650000 ,0.136174, 0.135547, 0.135532, 0.134826, 4.419010
1.700000 ,0.134825, 0.134040, 0.134020, 0.133152, 4.553026
1.750000 ,0.133151, 0.132199, 0.132175, 0.131135, 4.685198
1.800000 ,0.131135, 0.130007, 0.129979, 0.128759, 4.815176
1.850000 ,0.128759, 0.127447, 0.127414, 0.126004, 4.942590
1.900000 ,0.126004, 0.124498, 0.124461, 0.122853, 5.067052
1.950000 ,0.122853, 0.121143, 0.121100, 0.119283, 5.188156
2.000000 ,0.119283, 0.117359, 0.117311, 0.115273, 5.305472
