0.200000 ,0.300000, 0.328000, 0.330800, 0.358160, 0.829293
0.400000 ,0.357859, 0.383645, 0.386223, 0.411103, 1.214076
0.600000 ,0.410815, 0.433897, 0.436205, 0.458056, 1.648922
0.800000 ,0.457784, 0.477563, 0.479541, 0.497693, 2.127203
1.000000 ,0.497441, 0.513185, 0.514759, 0.528392, 2.640823
1.200000 ,0.528165, 0.538981, 0.540063, 0.548177, 3.179894
1.400000 ,0.547979, 0.552777, 0.553257, 0.554630, 3.732340
1.600000 ,0.554468, 0.551915, 0.551659, 0.544800, 4.283409
1.800000 ,0.544682, 0.533150, 0.531997, 0.515081, 4.815086
2.000000 ,0.515017, 0.492519, 0.490269, 0.461071, 5.305363
